"TOA5","mRosSensors","CR1000","49471","CR1000.Std.25","CPU:mROSsensors.CR1","16069","Tsoil"
"TIMESTAMP","RECORD","Tsoil_Avg(1)","Tsoil_Avg(2)","Tsoil_Avg(3)","Tsoil_Avg(4)","Tsoil_Avg(5)","Tsoil_Avg(6)","Tsoil_Avg(7)","Tsoil_Avg(8)","Tsoil_Avg(9)","Tsoil_Avg(10)","Tsoil_Avg(11)","Tsoil_Avg(12)","Tsoil_Avg(13)","Tsoil_Avg(14)","Tsoil_Avg(15)","Tsoil_Avg(16)","Tsoil_Avg(17)","Tsoil_Avg(18)"
"TS","RN","degree C","degree C","degree C","degree C","degree C","degree C","degree C","degree C","degree C","degree C","degree C","degree C","degree C","degree C","degree C","degree C","degree C","degree C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-05-13 15:00:00",0,22.26,"NAN",21.72,"NAN",21.3,"NAN",21.12,"NAN",21.74,"NAN",22.07,"NAN",21.64,"NAN",21.23,"NAN",21.47,"NAN"
"2013-05-13 16:00:00",1,19.5,20.01,19.57,19.58,19.64,19.6,19.77,19.62,20.11,19.53,19.79,19.67,18.96,19.6,19.42,19.4,"NAN","NAN"
"2013-05-13 17:00:00",2,17.17,17.04,17.45,16.84,17.56,17.31,17.12,17.66,18.12,16.93,17.24,16.89,16.58,17.13,17.09,17.04,16.79,16.89
"2013-05-13 18:00:00",3,15.32,15.3,15.61,15.01,15.59,15.22,15.22,16.14,16.03,15.33,15.7,14.97,15.12,15.43,15.21,15.45,15.14,14.97
"2013-05-13 19:00:00",4,15.42,15.6,15.61,15.31,15.61,15.33,15.45,15.83,15.61,15.51,15.78,15.23,15.47,15.8,15.38,15.62,15.34,15.4
"2013-05-13 20:00:00",5,15,15.27,15.13,15.05,14.98,15.05,15.12,15.44,15.17,15.24,15.53,14.86,15.16,15.54,15.06,15.23,15,15
"2013-05-13 21:00:00",6,14.69,14.84,14.8,14.66,14.59,14.69,14.79,15.27,14.94,14.83,15.16,14.41,14.72,15.1,14.67,14.87,14.55,14.54
"2013-05-13 22:00:00",7,14.15,14.32,14.41,14.27,14.24,14.41,14.27,14.96,14.58,14.42,14.78,13.97,14.23,14.65,14.27,14.38,14.12,14.03
"2013-05-13 23:00:00",8,12.83,12.69,13.36,12.99,13.37,13.47,12.92,14.07,13.75,13.36,13.74,12.71,12.81,13.37,13.1,13.17,12.96,12.46
"2013-05-14 00:00:00",9,13.27,13.31,13.7,13.33,13.54,13.71,13.35,14.2,13.82,13.65,14.01,13.14,13.05,13.7,13.43,13.44,13.27,12.91
"2013-05-14 01:00:00",10,13.19,13.38,13.24,13.07,13.1,13.26,13.22,14.14,13.53,13.1,13.69,12.79,13.07,13.67,13.04,13.35,12.86,12.82
"2013-05-14 02:00:00",11,13.37,13.43,13.39,13.08,13.29,13.24,13.41,14.07,13.6,13.23,13.73,13.01,13.08,13.85,13.26,13.41,13.05,13.05
"2013-05-14 03:00:00",12,13.14,13.67,13.31,13.33,13.11,13.32,13.41,14.26,13.59,13.42,13.72,12.93,13.39,13.77,13.22,13.59,13.07,13
"2013-05-14 04:00:00",13,13.19,13.69,13.3,13.25,13.07,13.3,13.32,14.24,13.52,13.35,13.74,12.96,13.36,13.72,13.18,13.53,13.03,13.04
"2013-05-14 05:00:00",14,12.93,13.43,13.22,13.12,12.82,13.08,13.29,14.1,13.27,13.13,13.52,12.8,13.2,13.44,12.96,13.44,12.76,12.79
"2013-05-14 06:00:00",15,12.95,13.46,13.05,12.86,12.82,12.89,13.24,14.01,13.17,12.87,13.47,12.78,13.16,13.5,12.9,13.49,12.73,12.82
"2013-05-14 07:00:00",16,12.98,13.38,13.04,12.8,12.8,12.89,13.16,14.01,13.15,12.84,13.42,12.66,13.09,13.47,12.81,13.43,12.66,12.82
"2013-05-14 08:00:00",17,13.84,14.59,13.88,14.25,13.74,13.79,14.14,14.72,14.19,14.01,14.48,13.98,13.99,14.66,13.96,14.61,13.74,14.17
"2013-05-14 09:00:00",18,14.59,15.92,14.41,15.68,14.62,14.39,15,15.37,15.04,15.34,15.74,15.35,15.36,15.83,14.87,16.01,14.87,15.46
